cust_id ,trans_id ,trans_date,invoice_nbr,loc_nbr ,sales ,product_category ,payment_method,payment_status
22,1001255,5/27/2022,100045681,20,2549,Jewellery,Credit Card,completed
23,1001256,5/28/2022,100045682,18,1047,Jewellery,UPI,completed
24,1001257,5/29/2022,100045683,45,1939,Bags,Credit Card,completed
25,1001258,5/30/2022,100045684,45,2920,Men's Clothing,Credit Card,completed
26,1001259,5/31/2022,100045685,50,2828,Bags,Credit Card,completed
27,1001260,6/1/2022,100045686,43,2193,Accessories,Debit Card,completed
28,1001261,6/2/2022,100045687,27,3996,Footwear,UPI,failed
29,1001261,6/2/2022,100045687,27,3996,Footwear,Credit Card,failed
30,1001261,6/2/2022,100045687,27,3996,Footwear,Debit Card,failed
31,1001261,6/2/2022,100045687,27,3996,Footwear,UPI,completed
32,1001265,6/6/2022,100045691,41,2765,Kid's Clothing,Credit Card,completed
33,1001266,6/7/2022,100045692,37,3228,Accessories,UPI,completed
34,1001267,6/8/2022,100045693,7,1655,Accessories,Credit Card,completed
35,1001268,6/9/2022,100045694,7,1235,Bags,Debit Card,completed
36,1001269,6/10/2022,100045695,16,2827,Gym wear,Credit Card,completed
37,1001270,6/11/2022,100045696,25,3752,Gym wear,UPI,completed
38,1001271,6/12/2022,100045697,1,4489,Bags,Debit Card,completed
39,1001272,6/13/2022,100045698,20,4027,Women's Clothing,UPI,completed
40,1001273,6/14/2022,100045699,48,3835,Men's Clothing,Debit Card,completed
41,1001274,6/15/2022,100045700,34,4819,Gym wear,Debit Card,completed
42,1001275,6/16/2022,100045701,22,4606,Footwear,Credit Card,completed
43,1001276,6/17/2022,100045702,14,3786,Men's Clothing,Debit Card,completed
44,1001277,6/18/2022,100045703,47,2757,Men's Clothing,Debit Card,completed
45,1001278,6/19/2022,100045704,49,4417,Bags,UPI,completed
46,1001279,6/20/2022,100045705,19,3290,Men's Clothing,Credit Card,completed
47,1001280,6/21/2022,100045706,35,1195,Winter wear,Debit Card,completed
48,1001281,6/22/2022,100045707,36,1064,Beauty,UPI,completed
49,1001282,6/23/2022,100045708,25,2130,Accessories,UPI,completed
50,1001283,6/24/2022,100045709,25,2016,Accessories,Debit Card,completed
51,1001284,6/25/2022,100045710,11,2013,Accessories,UPI,completed
52,1001285,6/26/2022,100045711,7,1724,Gym wear,UPI,completed
53,1001286,6/27/2022,100045712,38,3229,Women's Clothing,UPI,completed
54,1001287,6/28/2022,100045713,28,3634,Women's Clothing,Debit Card,completed
55,1001288,6/29/2022,100045714,30,1662,Accessories,Credit Card,completed
56,1001289,6/30/2022,100045715,48,4128,Winter wear,Credit Card,completed
57,1001290,7/1/2022,100045716,2,4762,Beauty,Credit Card,completed
58,1001291,7/2/2022,100045717,23,4159,Footwear,UPI,completed
59,1001292,7/3/2022,100045718,26,2678,Men's Clothing,Credit Card,completed
60,1001293,7/4/2022,100045719,45,4855,Beauty,UPI,completed
61,1001294,7/5/2022,100045720,10,4835,Beauty,Debit Card,completed
62,1001295,7/6/2022,100045721,40,259,Beauty,UPI,completed
63,1001296,7/7/2022,100045722,44,2952,Beauty,Debit Card,completed
64,1001297,7/8/2022,100045723,47,4744,Jewellery,Debit Card,completed
65,1001298,7/9/2022,100045724,34,730,Jewellery,Credit Card,completed
66,1001299,7/10/2022,100045725,49,3588,Accessories,Credit Card,completed
67,1001300,7/11/2022,100045726,42,3675,Women's Clothing,Debit Card,completed
68,1001301,7/12/2022,100045727,21,4112,Beauty,UPI,completed
69,1001302,7/13/2022,100045728,1,4614,Winter wear,UPI,completed
70,1001303,7/14/2022,100045729,25,3670,Kid's Clothing,Debit Card,completed
71,1001304,7/15/2022,100045730,40,699,Bags,Credit Card,completed
72,1001305,7/16/2022,100045731,12,1877,Men's Clothing,Credit Card,completed
73,1001306,7/17/2022,100045732,16,4677,Gym wear,UPI,completed
74,1001307,7/18/2022,100045733,34,2058,Kid's Clothing,UPI,completed
75,1001308,7/19/2022,100045734,1,940,Jewellery,UPI,completed
76,1001309,7/20/2022,100045735,23,1416,Women's Clothing,Credit Card,completed
77,1001310,7/21/2022,100045736,9,4936,Accessories,UPI,completed
78,1001311,7/22/2022,100045737,38,4302,Women's Clothing,Credit Card,completed
79,1001312,7/23/2022,100045738,6,2792,Accessories,UPI,completed
80,1001313,7/24/2022,100045739,41,1040,Kid's Clothing,UPI,completed
81,1001314,7/25/2022,100045740,23,3810,Jewellery,Credit Card,completed
82,1001315,7/26/2022,100045741,50,1881,Beauty,Credit Card,completed
83,1001316,7/27/2022,100045742,47,1243,Men's Clothing,Debit Card,completed
84,1001317,7/28/2022,100045743,22,2672,Men's Clothing,Credit Card,completed
85,1001318,7/29/2022,100045744,16,1244,Kid's Clothing,Debit Card,completed
86,1001319,7/30/2022,100045745,1,2180,Jewellery,UPI,completed
87,1001320,7/31/2022,100045746,12,3683,Kid's Clothing,Credit Card,completed
88,1001321,8/1/2022,100045747,18,3506,Kid's Clothing,Debit Card,completed
89,1001322,8/2/2022,100045748,50,2834,Women's Clothing,UPI,completed
90,1001323,8/3/2022,100045749,34,2440,Gym wear,Credit Card,completed
91,1001324,8/4/2022,100045750,29,1776,Beauty,Debit Card,completed
92,1001325,8/5/2022,100045751,41,3456,Jewellery,Credit Card,completed
93,1001326,8/6/2022,100045752,42,1042,Winter wear,UPI,completed
94,1001327,8/7/2022,100045753,40,1989,Beauty,Credit Card,completed
95,1001328,8/8/2022,100045754,4,4632,Women's Clothing,Credit Card,completed
96,1001329,8/9/2022,100045755,8,4013,Winter wear,Credit Card,completed
97,1001330,8/10/2022,100045756,23,4512,Jewellery,Credit Card,completed
98,1001331,8/11/2022,100045757,39,3871,Men's Clothing,Credit Card,completed
99,1001332,8/12/2022,100045758,50,325,Footwear,Credit Card,completed
100,1001333,8/13/2022,100045759,2,3989,Women's Clothing,Credit Card,completed
101,1001334,8/14/2022,100045760,32,1184,Winter wear,Credit Card,completed
102,1001335,8/15/2022,100045761,11,4171,Men's Clothing,UPI,completed
103,1001336,8/16/2022,100045762,47,4574,Gym wear,Debit Card,completed
104,1001337,8/17/2022,100045763,2,1034,Gym wear,UPI,completed
105,1001338,8/18/2022,100045764,45,3880,Jewellery,Credit Card,completed
106,1001339,8/19/2022,100045765,44,4995,Bags,Credit Card,completed
107,1001340,8/20/2022,100045766,21,972,Bags,Debit Card,completed
108,1001341,8/21/2022,100045767,47,4894,Bags,Debit Card,completed
109,1001342,8/22/2022,100045768,50,1783,Accessories,UPI,completed
110,1001343,8/23/2022,100045769,41,4194,Footwear,Credit Card,completed
111,1001344,8/24/2022,100045770,11,3579,Men's Clothing,Debit Card,completed
112,1001345,8/25/2022,100045771,29,2072,Winter wear,Debit Card,completed
113,1001346,8/26/2022,100045772,1,1837,Accessories,Credit Card,completed
114,1001347,8/27/2022,100045773,39,1589,Men's Clothing,Debit Card,completed
115,1001348,8/28/2022,100045774,13,2246,Beauty,Credit Card,completed
116,1001349,8/29/2022,100045775,3,2086,Men's Clothing,UPI,completed
117,1001350,8/30/2022,100045776,12,4050,Gym wear,UPI,completed
118,1001351,8/31/2022,100045777,28,992,Accessories,UPI,completed
119,1001352,9/1/2022,100045778,45,2117,Winter wear,Credit Card,completed
120,1001353,9/2/2022,100045779,36,2512,Winter wear,UPI,completed
121,1001354,9/3/2022,100045780,48,4684,Accessories,Debit Card,completed
122,1001355,9/4/2022,100045781,7,2139,Footwear,Debit Card,completed
123,1001356,9/5/2022,100045782,11,2112,Men's Clothing,Debit Card,completed
124,1001357,9/6/2022,100045783,28,995,Kid's Clothing,Debit Card,completed
125,1001358,9/7/2022,100045784,8,1171,Winter wear,UPI,completed
126,1001359,9/8/2022,100045785,31,4117,Winter wear,UPI,completed
127,1001360,9/9/2022,100045786,44,2437,Women's Clothing,Credit Card,completed
128,1001361,9/10/2022,100045787,42,3533,Bags,Credit Card,completed
129,1001362,9/11/2022,100045788,10,1927,Men's Clothing,Credit Card,completed
130,1001363,9/12/2022,100045789,30,1259,Women's Clothing,Debit Card,completed
131,1001364,9/13/2022,100045790,19,2886,Kid's Clothing,Credit Card,completed
132,1001365,9/14/2022,100045791,37,4206,Accessories,Debit Card,completed
133,1001366,9/15/2022,100045792,17,2334,Kid's Clothing,UPI,completed
134,1001367,9/16/2022,100045793,24,1337,Winter wear,UPI,completed
135,1001368,9/17/2022,100045794,5,4727,Gym wear,UPI,completed
136,1001369,9/18/2022,100045795,10,3488,Footwear,Credit Card,completed
137,1001370,9/19/2022,100045796,7,897,Gym wear,Debit Card,completed
138,1001371,9/20/2022,100045797,9,4777,Men's Clothing,Debit Card,completed
139,1001372,9/21/2022,100045798,18,3746,Accessories,Credit Card,completed
140,1001373,9/22/2022,100045799,28,3180,Bags,Credit Card,completed
141,1001374,9/23/2022,100045800,29,4290,Women's Clothing,Debit Card,completed
142,1001375,9/24/2022,100045801,46,2116,Winter wear,UPI,completed
143,1001376,9/25/2022,100045802,5,1834,Bags,UPI,completed
144,1001377,9/26/2022,100045803,47,2394,Winter wear,Debit Card,completed
145,1001378,9/27/2022,100045804,30,1857,Gym wear,Credit Card,completed
146,1001379,9/28/2022,100045805,25,2096,Kid's Clothing,UPI,completed
147,1001380,9/29/2022,100045806,44,4935,Beauty,UPI,completed
148,1001381,9/30/2022,100045807,39,1886,Accessories,Debit Card,completed
149,1001382,10/1/2022,100045808,37,4764,Bags,Credit Card,completed
150,1001383,10/2/2022,100045809,3,1145,Kid's Clothing,Debit Card,completed
151,1001384,10/3/2022,100045810,41,4155,Women's Clothing,Credit Card,completed
152,1001385,10/4/2022,100045811,37,1244,Women's Clothing,Credit Card,completed
153,1001386,10/5/2022,100045812,41,1641,Bags,UPI,completed
154,1001387,10/6/2022,100045813,13,3875,Jewellery,UPI,completed
155,1001388,10/7/2022,100045814,48,639,Kid's Clothing,Debit Card,completed
156,1001389,10/8/2022,100045815,41,1178,Men's Clothing,UPI,completed
157,1001390,10/9/2022,100045816,3,3743,Bags,Debit Card,completed
158,1001391,10/10/2022,100045817,43,4965,Men's Clothing,Credit Card,completed
159,1001392,10/11/2022,100045818,3,3310,Beauty,UPI,completed
160,1001393,10/12/2022,100045819,40,3936,Winter wear,Debit Card,completed
161,1001394,10/13/2022,100045820,13,1581,Bags,UPI,completed
162,1001395,10/14/2022,100045821,12,503,Winter wear,UPI,completed
163,1001396,10/15/2022,100045822,27,4039,Winter wear,Credit Card,completed
164,1001397,10/16/2022,100045823,41,1983,Footwear,UPI,completed
165,1001398,10/17/2022,100045824,20,1378,Beauty,UPI,completed
166,1001399,10/18/2022,100045825,4,1906,Bags,UPI,completed
167,1001400,10/19/2022,100045826,43,3368,Gym wear,UPI,completed
168,1001401,10/20/2022,100045827,19,1376,Gym wear,UPI,completed
169,1001402,10/21/2022,100045828,47,3848,Jewellery,UPI,completed
170,1001403,10/22/2022,100045829,14,4437,Footwear,Credit Card,completed
171,1001404,10/23/2022,100045830,39,4254,Bags,Debit Card,completed
172,1001405,10/24/2022,100045831,33,4089,Kid's Clothing,Debit Card,completed
173,1001406,10/25/2022,100045832,29,3162,Kid's Clothing,Credit Card,completed
174,1001407,10/26/2022,100045833,12,4014,Bags,Debit Card,completed
175,1001408,10/27/2022,100045834,44,2146,Bags,Credit Card,completed
176,1001409,10/28/2022,100045835,45,1037,Bags,Debit Card,completed
177,1001410,10/29/2022,100045836,25,317,Kid's Clothing,Credit Card,completed
178,1001411,10/30/2022,100045837,8,4861,Jewellery,UPI,completed
179,1001412,10/31/2022,100045838,29,3272,Winter wear,Credit Card,completed
180,1001413,11/1/2022,100045839,34,522,Gym wear,UPI,completed
181,1001414,11/2/2022,100045840,6,3017,Accessories,Credit Card,completed
182,1001415,11/3/2022,100045841,10,493,Bags,UPI,completed
183,1001416,11/4/2022,100045842,35,2276,Women's Clothing,UPI,completed
184,1001417,11/5/2022,100045843,32,3827,Jewellery,Credit Card,completed
185,1001418,11/6/2022,100045844,5,1923,Beauty,UPI,completed
186,1001419,11/7/2022,100045845,37,4693,Footwear,UPI,completed
187,1001420,11/8/2022,100045846,5,2094,Footwear,Debit Card,completed
188,1001421,11/9/2022,100045847,6,2735,Jewellery,Credit Card,completed
189,1001422,11/10/2022,100045848,32,4720,Jewellery,Credit Card,completed
190,1001423,11/11/2022,100045849,32,4567,Winter wear,Credit Card,completed
191,1001424,11/12/2022,100045850,27,881,Jewellery,Credit Card,completed
192,1001425,11/13/2022,100045851,38,4230,Kid's Clothing,Debit Card,completed
193,1001426,11/14/2022,100045852,36,2057,Bags,Credit Card,completed
194,1001427,11/15/2022,100045853,22,2039,Winter wear,Debit Card,completed
195,1001428,11/16/2022,100045854,11,375,Bags,Credit Card,completed
196,1001429,11/17/2022,100045855,27,2363,Footwear,Debit Card,completed
197,1001430,11/18/2022,100045856,44,1499,Footwear,UPI,completed
198,1001431,11/19/2022,100045857,12,4693,Jewellery,UPI,completed
199,1001432,11/20/2022,100045858,49,3072,Men's Clothing,Credit Card,completed
200,1001433,11/21/2022,100045859,49,539,Bags,UPI,completed
201,1001434,11/22/2022,100045860,26,1232,Winter wear,UPI,completed
202,1001435,11/23/2022,100045861,42,1917,Gym wear,UPI,completed
203,1001436,11/24/2022,100045862,44,868,Gym wear,UPI,completed
204,1001437,11/25/2022,100045863,31,4441,Footwear,Debit Card,completed
205,1001438,11/26/2022,100045864,20,4804,Men's Clothing,Credit Card,completed
206,1001439,11/27/2022,100045865,43,3867,Kid's Clothing,UPI,completed
207,1001440,11/28/2022,100045866,37,1655,Jewellery,Debit Card,completed
208,1001441,11/29/2022,100045867,33,2183,Bags,UPI,completed
209,1001442,11/30/2022,100045868,38,1634,Beauty,Credit Card,completed
210,1001443,12/1/2022,100045869,41,4071,Women's Clothing,Debit Card,completed
211,1001444,12/2/2022,100045870,10,2094,Footwear,UPI,completed
212,1001445,12/3/2022,100045871,8,1635,Jewellery,UPI,completed
213,1001446,12/4/2022,100045872,19,3362,Beauty,Debit Card,completed
214,1001447,12/5/2022,100045873,36,3256,Accessories,Debit Card,completed
215,1001448,12/6/2022,100045874,18,2881,Accessories,UPI,completed
216,1001449,12/7/2022,100045875,46,4178,Women's Clothing,UPI,completed
217,1001450,12/8/2022,100045876,22,2026,Men's Clothing,UPI,completed
218,1001451,12/9/2022,100045877,24,877,Accessories,Debit Card,completed
219,1001452,12/10/2022,100045878,2,2895,Gym wear,Credit Card,completed
220,1001453,12/11/2022,100045879,3,2654,Accessories,Credit Card,completed
221,1001454,12/12/2022,100045880,41,3980,Women's Clothing,Credit Card,completed
222,1001455,12/13/2022,100045881,48,3389,Kid's Clothing,Credit Card,completed
223,1001456,12/14/2022,100045882,47,3472,Kid's Clothing,Debit Card,completed
224,1001457,12/15/2022,100045883,26,2916,Bags,UPI,completed
225,1001458,12/16/2022,100045884,23,261,Kid's Clothing,UPI,completed
226,1001459,12/17/2022,100045885,21,377,Jewellery,Credit Card,completed
227,1001460,12/18/2022,100045886,17,2582,Jewellery,Credit Card,completed
228,1001461,12/19/2022,100045887,22,661,Bags,Credit Card,completed
229,1001462,12/20/2022,100045888,6,1826,Men's Clothing,Debit Card,completed
230,1001463,12/21/2022,100045889,19,4800,Winter wear,UPI,completed
231,1001464,12/22/2022,100045890,42,3032,Winter wear,Debit Card,completed
232,1001465,12/23/2022,100045891,13,1946,Footwear,UPI,completed
233,1001466,12/24/2022,100045892,4,2714,Women's Clothing,Credit Card,completed
234,1001467,12/25/2022,100045893,31,1746,Jewellery,Credit Card,completed
235,1001468,12/26/2022,100045894,45,2377,Winter wear,Credit Card,completed
236,1001469,12/27/2022,100045895,35,1779,Men's Clothing,UPI,completed
237,1001470,12/28/2022,100045896,16,791,Footwear,Credit Card,completed
238,1001471,12/29/2022,100045897,5,498,Men's Clothing,Credit Card,completed
239,1001472,12/30/2022,100045898,21,2121,Bags,Credit Card,completed
240,1001473,12/31/2022,100045899,44,423,Women's Clothing,Credit Card,completed
241,1001474,1/1/2021,100045900,31,3608,Beauty,Credit Card,completed
242,1001475,1/2/2021,100045901,20,3797,Bags,Debit Card,completed
243,1001476,1/3/2021,100045902,21,4034,Men's Clothing,Debit Card,completed
244,1001477,1/4/2021,100045903,47,4576,Winter wear,UPI,completed
245,1001478,1/5/2021,100045904,8,3265,Accessories,Debit Card,completed
246,1001479,1/6/2021,100045905,48,4896,Men's Clothing,Debit Card,completed
247,1001480,1/7/2021,100045906,23,3586,Beauty,UPI,completed
248,1001481,1/8/2021,100045907,1,1768,Kid's Clothing,Credit Card,completed
249,1001482,1/9/2021,100045908,26,1584,Kid's Clothing,Credit Card,completed
250,1001483,1/10/2021,100045909,37,4533,Beauty,UPI,completed
251,1001484,1/11/2021,100045910,12,4229,Winter wear,Debit Card,completed
252,1001485,1/12/2021,100045911,40,4332,Women's Clothing,Credit Card,completed
253,1001486,1/13/2021,100045912,44,1069,Gym wear,Debit Card,completed
254,1001487,1/14/2021,100045913,1,3397,Men's Clothing,Debit Card,completed
255,1001488,1/15/2021,100045914,44,643,Winter wear,Debit Card,completed
256,1001489,1/16/2021,100045915,46,769,Footwear,Credit Card,completed
257,1001490,1/17/2021,100045916,25,3651,Winter wear,Credit Card,completed
258,1001491,1/18/2021,100045917,38,3233,Accessories,Credit Card,completed
259,1001492,1/19/2021,100045918,44,2535,Jewellery,Credit Card,completed
260,1001493,1/20/2021,100045919,32,1492,Accessories,UPI,completed
261,1001494,1/21/2021,100045920,3,3390,Women's Clothing,UPI,completed
262,1001495,1/22/2021,100045921,18,821,Men's Clothing,Debit Card,completed
263,1001496,1/23/2021,100045922,45,665,Bags,UPI,completed
264,1001497,1/24/2021,100045923,25,3180,Gym wear,Debit Card,completed
265,1001498,1/25/2021,100045924,43,4944,Accessories,Credit Card,completed
266,1001499,1/26/2021,100045925,19,738,Winter wear,Debit Card,completed
267,1001500,1/27/2021,100045926,7,3994,Women's Clothing,Credit Card,completed
268,1001501,1/28/2021,100045927,36,4144,Beauty,Credit Card,completed
269,1001502,1/29/2021,100045928,17,4503,Women's Clothing,Debit Card,completed
270,1001503,1/30/2021,100045929,38,1977,Footwear,Debit Card,completed
271,1001504,1/31/2021,100045930,46,616,Footwear,Credit Card,completed
272,1001505,2/1/2021,100045931,41,1059,Winter wear,Credit Card,completed
273,1001506,2/2/2021,100045932,31,3305,Women's Clothing,Debit Card,completed
274,1001507,2/3/2021,100045933,41,1323,Accessories,Credit Card,completed
275,1001508,2/4/2021,100045934,47,4775,Beauty,Credit Card,completed
276,1001509,2/5/2021,100045935,6,4529,Kid's Clothing,UPI,completed
277,1001510,2/6/2021,100045936,34,4565,Women's Clothing,UPI,completed
278,1001511,2/7/2021,100045937,31,1126,Beauty,UPI,completed
279,1001512,2/8/2021,100045938,44,1717,Accessories,Credit Card,completed
280,1001513,2/9/2021,100045939,48,4309,Footwear,Debit Card,completed
281,1001514,2/10/2021,100045940,37,2925,Winter wear,Credit Card,completed
282,1001515,2/11/2021,100045941,20,1236,Kid's Clothing,UPI,completed
283,1001516,2/12/2021,100045942,37,4564,Men's Clothing,Debit Card,completed
284,1001517,2/13/2021,100045943,39,1123,Beauty,Debit Card,completed
285,1001518,2/14/2021,100045944,47,3907,Footwear,UPI,completed
286,1001519,2/15/2021,100045945,42,4087,Footwear,Credit Card,completed
287,1001520,2/16/2021,100045946,24,4004,Accessories,Credit Card,completed
288,1001521,2/17/2021,100045947,48,3619,Kid's Clothing,UPI,completed
289,1001522,2/18/2021,100045948,11,516,Women's Clothing,Credit Card,completed
290,1001523,2/19/2021,100045949,35,4181,Accessories,UPI,completed
291,1001524,2/20/2021,100045950,36,3526,Bags,Credit Card,completed
292,1001525,2/21/2021,100045951,34,3281,Winter wear,Credit Card,completed
293,1001526,2/22/2021,100045952,49,1142,Jewellery,Debit Card,completed
294,1001527,2/23/2021,100045953,9,275,Winter wear,Credit Card,completed
295,1001528,2/24/2021,100045954,36,3400,Jewellery,UPI,completed
296,1001529,2/25/2021,100045955,44,2028,Beauty,UPI,completed
297,1001530,2/26/2021,100045956,23,3381,Jewellery,Debit Card,completed
298,1001531,2/27/2021,100045957,2,3493,Kid's Clothing,UPI,completed
299,1001532,2/28/2021,100045958,48,4338,Beauty,Debit Card,completed
300,1001533,3/1/2021,100045959,42,2878,Winter wear,Debit Card,completed
301,1001534,3/2/2021,100045960,35,875,Footwear,Debit Card,completed
302,1001535,3/3/2021,100045961,1,1039,Jewellery,Credit Card,completed
303,1001536,3/4/2021,100045962,11,2102,Gym wear,Debit Card,completed
304,1001537,3/5/2021,100045963,1,3887,Winter wear,UPI,completed
305,1001538,3/6/2021,100045964,11,971,Bags,UPI,completed
306,1001539,3/7/2021,100045965,40,3923,Beauty,UPI,completed
307,1001540,3/8/2021,100045966,20,548,Men's Clothing,Credit Card,completed
308,1001541,3/9/2021,100045967,42,4186,Accessories,UPI,completed
309,1001542,3/10/2021,100045968,27,1722,Men's Clothing,UPI,completed
310,1001543,3/11/2021,100045969,39,2850,Bags,Debit Card,completed
311,1001544,3/12/2021,100045970,11,1747,Footwear,UPI,completed
312,1001545,3/13/2021,100045971,43,868,Men's Clothing,Debit Card,completed
313,1001546,3/14/2021,100045972,49,4477,Kid's Clothing,Credit Card,completed
314,1001547,3/15/2021,100045973,35,4878,Kid's Clothing,Credit Card,completed
315,1001548,3/16/2021,100045974,18,644,Accessories,Debit Card,completed
316,1001549,3/17/2021,100045975,45,3597,Bags,Credit Card,completed
317,1001550,3/18/2021,100045976,13,1182,Jewellery,Credit Card,completed
318,1001551,3/19/2021,100045977,47,4341,Jewellery,Debit Card,completed
319,1001552,3/20/2021,100045978,3,1220,Beauty,Debit Card,completed
320,1001553,3/21/2021,100045979,36,3947,Women's Clothing,UPI,completed
321,1001554,3/22/2021,100045980,32,2923,Men's Clothing,Credit Card,completed
322,1001555,3/23/2021,100045981,47,1263,Winter wear,Debit Card,completed
323,1001556,3/24/2021,100045982,28,254,Accessories,UPI,completed
324,1001557,3/25/2021,100045983,47,4382,Winter wear,Debit Card,completed
325,1001558,3/26/2021,100045984,49,4037,Accessories,Debit Card,completed
326,1001559,3/27/2021,100045985,31,3717,Kid's Clothing,UPI,completed
327,1001560,3/28/2021,100045986,43,2964,Women's Clothing,Debit Card,completed
328,1001561,3/29/2021,100045987,12,4380,Gym wear,UPI,completed
329,1001562,3/30/2021,100045988,15,2389,Women's Clothing,Credit Card,completed
330,1001563,3/31/2021,100045989,28,461,Accessories,Debit Card,completed
331,1001564,4/1/2021,100045990,40,3085,Kid's Clothing,Credit Card,completed
332,1001565,4/2/2021,100045991,38,737,Accessories,Debit Card,completed
333,1001566,4/3/2021,100045992,39,546,Gym wear,Credit Card,completed
334,1001567,4/4/2021,100045993,38,2979,Beauty,UPI,completed
335,1001568,4/5/2021,100045994,48,1877,Jewellery,UPI,completed
336,1001569,4/6/2021,100045995,4,3737,Beauty,Debit Card,completed
337,1001570,4/7/2021,100045996,20,1632,Bags,Debit Card,completed
338,1001571,4/8/2021,100045997,23,3967,Beauty,UPI,completed
339,1001572,4/9/2021,100045998,22,3374,Jewellery,Debit Card,completed
340,1001573,4/10/2021,100045999,25,2349,Kid's Clothing,UPI,completed
341,1001574,4/11/2021,100046000,20,984,Accessories,Credit Card,completed
342,1001575,4/12/2021,100046001,31,4715,Winter wear,UPI,completed
343,1001576,4/13/2021,100046002,28,4501,Jewellery,UPI,completed
344,1001577,4/14/2021,100046003,47,3066,Footwear,Debit Card,completed
345,1001578,4/15/2021,100046004,41,4839,Winter wear,Debit Card,completed
346,1001579,4/16/2021,100046005,1,1093,Kid's Clothing,Debit Card,completed
347,1001580,4/17/2021,100046006,21,4991,Accessories,Debit Card,completed
348,1001581,4/18/2021,100046007,37,3001,Women's Clothing,Credit Card,completed
349,1001582,4/19/2021,100046008,33,2772,Beauty,Debit Card,completed
350,1001583,4/20/2021,100046009,14,3464,Footwear,Debit Card,completed
351,1001584,4/21/2021,100046010,23,2042,Bags,Debit Card,completed
352,1001585,4/22/2021,100046011,27,4428,Jewellery,Debit Card,completed
353,1001586,4/23/2021,100046012,14,2729,Winter wear,UPI,completed
354,1001587,4/24/2021,100046013,14,1262,Footwear,Debit Card,completed
355,1001588,4/25/2021,100046014,26,940,Jewellery,Credit Card,completed
356,1001589,4/26/2021,100046015,27,1356,Footwear,Credit Card,completed
357,1001590,4/27/2021,100046016,49,2325,Gym wear,Debit Card,completed
358,1001591,4/28/2021,100046017,13,3700,Gym wear,Debit Card,completed
359,1001592,4/29/2021,100046018,15,4007,Men's Clothing,UPI,completed
360,1001593,4/30/2021,100046019,28,3953,Jewellery,UPI,completed
361,1001594,5/1/2021,100046020,32,4731,Women's Clothing,UPI,completed
362,1001595,5/2/2021,100046021,13,2537,Men's Clothing,Debit Card,completed
363,1001596,5/3/2021,100046022,1,4620,Women's Clothing,Credit Card,completed
364,1001597,5/4/2021,100046023,24,3997,Men's Clothing,UPI,completed
365,1001598,5/5/2021,100046024,11,3919,Gym wear,Debit Card,completed
366,1001599,5/6/2021,100046025,36,3434,Kid's Clothing,Debit Card,completed
367,1001600,5/7/2021,100046026,5,2888,Winter wear,Debit Card,completed
368,1001601,5/8/2021,100046027,37,1488,Beauty,Credit Card,completed
369,1001602,5/9/2021,100046028,45,2733,Women's Clothing,Debit Card,completed
370,1001603,5/10/2021,100046029,36,2194,Gym wear,UPI,completed
371,1001604,5/11/2021,100046030,17,4360,Bags,Debit Card,completed
